id,joke
1,"Today, my son asked ""Can I have a book mark?"" and I burst into tears. 11 years old and he still doesn't know my name is Brian."
2,My wife is really mad at the fact that I have no sense of direction. So I packed up my stuff and right.
3,"DAD: I was just listening to the radio on my way in to town, apparently an actress just killed herself."
4,How do you make holy water? You boil the hell out of it.
5,"I bought some shoes from a drug dealer. I don't know what he laced them with, but I was tripping all day!"
6,Did you know the first French fries weren't actually cooked in France? They were cooked in Greece.
7,"If a child refuses to sleep during nap time, are they guilty of resisting a rest?"
8,"The secret service isn't allowed to yell ""Get down!"" anymore when the president is about to be attacked. Now they have to yell ""Donald, duck!"""
9,I'm reading a book about anti-gravity. It's impossible to put down!
10,What do you call someone with no body and no nose? Nobody knows.
11,I ordered a chicken and an egg from Amazon. I’ll let you know
12,What is the least spoken language in the world? Sign language
13,"My daughter screeched, ""Daaaaaad, you haven't listened to one word I've said, have you!?"" What a strange way to start a conversation with me..."
14,A slice of apple pie is $2.50 in Jamaica and $3.00 in the Bahamas. These are the pie rates of the Caribbean.
15,"My wife tried to unlatch our daughter's car seat with one hand and said, ""How do one armed mothers do it?"" Without missing a beat I replied, ""Single handedly."""
16,"When a dad drives past a graveyard: Did you know that's a popular cemetery? Yep, people are just dying to get in there!"
17,"My friend keeps saying ""cheer up man it could be worse, you could be stuck underground in a hole full of water."" I know he means well."
18,"Justice is a dish best served cold, if it were served warm it would be justwater."
19,The fattest knight at King Arthur’s round table was Sir Cumference. He acquired his size from too much pi.
20,"MOM: ""How do I look?"" DAD: ""With your eyes."""
21,Why can't you hear a pterodactyl go to the bathroom? Because the pee is silent.
22,What does a zombie vegetarian eat? “GRRRAAAAAIIIINNNNS!”
23,Spring is here! I got so excited I wet my plants!
24,3 unwritten rules of life...
25,If you see a robbery at an Apple Store does that make you an iWitness?
26,Did you hear the news? FedEx and UPS are merging. They’re going to go by the name Fed-Up from now on.
27,Don't trust atoms. They make up everything!
28,"I told my son I was named after Thomas Jefferson… He said, “But dad, your name is Brian.” I said, “I know, but I was named AFTER Thomas Jefferson.”"
29,"KID: ""Dad, make me a sandwich!"" DAD: ""Poof, you’re a sandwich!”"
30,Why did the invisible man turn down the job offer? He couldn't see himself doing it.
31,"SERVER: ""Sorry about your wait."" DAD: ""Are you saying I’m fat?”"
32,What has two butts and kills people? An assassin
33,What did the pirate say on his 80th birthday? AYE MATEY
34,"CASHIER: ""Would you like the milk in a bag, sir?"" DAD: ""No, just leave it in the carton!’”"
35,"What's the best part about living in Switzerland? I don't know, but the flag is a big plus."
36,"When an ambulance zips past with its siren blaring: ""They won’t sell much ice cream driving that fast.”"
37,"If Snoop Dogg dies before pot becomes legal in the US, he will be rolling in his grave."
38,What do you call a dog that can do magic? A Labracadabrador.
39,5/4 of people admit that they’re bad with fractions.
40,Why couldn't the bike standup by itself? It was two tired.
41,What do you call a deer with no eyes? No idea!
42,"GRANDPA: I have a 'dad bod', DAD: To me it's more like a father figure."
43,What time did the man go to the dentist? Tooth hurt-y.
44,When a dad drives past a cow pasture: LOOK! That cow is OUT-STANDING in his field!
45,What’s Forrest Gump’s password? 1forrest1
46,I used to have a job at a calendar factory but I got the sack because I took a couple of days off.
47,"When you ask a dad if he's alright: ""No, I’m half left.”"
48,"KID: ""Hey, I was thinking…"" DAD: ""I thought I smelled something burning.”"
49,"A termite walks into a bar and asks, ""Is the bar tender here?"""
50,"Two guys walk into a bar, the third one ducks."
51,How many tickles does it take to make an octopus laugh? Ten-tickles.
52,"SON: *hands my Dad his 50th birthday card*, DAD: You know, one would have been enough."
53,"When a woman is giving birth, she is literally kidding."
54,"A ham sandwich walks into a bar and orders a beer. The bartender says, ""Sorry we don’t serve food here."""
55,"Can February March? No, but April May!"
56,What did the buffalo say to his son when he dropped him off at school? Bison.
57,Why did the crab never share? Because he's shellfish.
58,To call the whole Elon Musk controversy “Elon-Gate” seems like a bit of a stretch.
59,Two peanuts were walking down the street. One was a salted.
60,"What do you call a cow with two legs? Lean beef. If the cow has no legs, then it’s ground beef."
61,I just watched a documentary about beavers. It was the best dam show I ever saw!
62,What is Beethoven’s favorite fruit? A ba-na-na-na.
63,"When you ask a dad if they got a haircut: ""No, I got them all cut!"""
64,Where did the college-aged vampire like to shop? Forever 21.
65,"GROCERY STORE CHECKER: ""Paper or plastic?"" DAD: ""Either, I’m bisacktual.”"
66,"What did the horse say after it tripped? ""Help! I’ve fallen and I can’t giddyup!”"
67,You know what the loudest pet you can get is? A trumpet.
68,Why wasn't the woman happy with the velcro she bought? It was a total ripoff.
69,"What noise does a 747 make when it bounces? Boeing, Boeing, Boeing."
70,"I hear it's easy to get ladies not to eat Tide pods. It's more difficult to deter gents, though."
71,What do you call a factory that sells passable products? A satisfactory.
72,"A woman is on trial for beating her husband to death with his guitar collection. Judge says, ""First offender?"" She says, ""No, first a Gibson! Then a Fender!”"
73,Did you hear about the circus fire? It was in tents!
74,"You're American when you go into the bathroom, and you're American when you come out, but do you know what you are while you're in there? European."
75,I’m only familiar with 25 letters in the English language. I don’t know why.
76,"WAITRESS: ""Soup or salad?"" DAD: ""I don’t want a SUPER salad, I want a regular salad.”"
77,What do you get when you cross a snowman with a vampire? Frostbite.
78,What does an angry pepper do? It gets jalapeño your face.
79,"As a lumberjack, I know that I’ve cut exactly 2,417 trees. I know because every time I cut one, I keep a log."
80,Want to hear a joke about a piece of paper? Never mind... it's tearable.
81,"Why do chicken coops only have two doors? Because if they had four, they would be chicken sedans!"
82,What do you get when you cross an elephant with a rhino? Elephino.
83,"I was interrogated over the theft of a cheese toastie. Man, they really grilled me."
84,If you rearrange the letters of “Postmen”. They get really pissed off.
85,"A three-legged dog walks into a bar and says to the bartender, ""I’m looking for the man who shot my paw."""
